company,job_title,location,posted_date,stipend
SANVER INDIA PRIVATE LIMITED,Recruiter,Mumbai,,"₹ 3,00,000 - 5,00,000"
Design Matrix,Interior Designer,Mumbai,,"₹ 5,00,000 - 5,50,000"
Second Medic,Business Development Manager,Navi Mumbai,2 days ago,"₹ 3,00,000 - 5,00,000"
Srushti Jain,Business Development Associate,Mumbai,,"₹ 3,00,000 - 3,50,000"
UniAcco,Business Development Specialist,Mumbai,2 days ago,"₹ 3,00,000 - 3,60,000"
Second Medic,Business Development Executive,Navi Mumbai,2 days ago,"₹ 3,00,000 - 5,00,000"
Balaji Global Marketing Private Limited,Junior Telecaller,Mumbai,,"₹ 2,00,000 - 2,00,001"
SVGH HEALTH CARE PVT LTD,Medical Representative (MR),Indore,,"₹ 2,10,000 - 3,10,000"
Second Medic,Business Development Manager,Lucknow,,"₹ 3,00,000 - 5,00,000"
Money Making Trading Courses,Corporate Sales Associate,Mumbai,,"₹ 2,00,000 - 2,50,000"
K12 Techno Service Private Limited (Orchids International School),Team Lead - R&D,Bangalore,Few hours ago,"₹ 5,00,000 - 6,50,000"
ONE XL INFO LLP,Social Media Executive,Pune,Few hours ago,"₹ 2,40,000 - 3,00,000"
Vibrant Publishers,Relationship Executive,Mumbai,2 days ago,"₹ 2,00,000 - 4,00,000"
ONE XL INFO LLP,SEO Executive,Pune,Few hours ago,"₹ 2,40,000 - 3,00,000"
Nurture Xcel,Digital Marketing Associate,Mumbai,Few hours ago,"₹ 2,00,000 - 2,50,000"
CRAFX STUDIO,Graphic Designer,Thane,,"₹ 2,00,000 - 4,00,000"
THE NOIR BAGS,Sales Manager,Mumbai,Few hours ago,"₹ 2,00,000 - 3,00,000"
Impresio Studio,Client Relationship Manager,Noida,,"₹ 3,60,000 - 4,20,000"
Mudraksh & McShaw Tech LLP.,Financial Accountant,Noida,Few hours ago,"₹ 2,00,000 - 2,40,000"
YES Germany,Educational Counselor,Bangalore,1 day ago,"₹ 4,20,000 - 5,20,000"
PlanetSpark,Corporate Sales Associate,Gurgaon,Few hours ago,"₹ 6,50,000 - 7,50,000"
PlanetSpark,Sales Associate,Delhi,Few hours ago,"₹ 6,50,000 - 7,50,000"
UniAcco,Front Desk Cum Administrator,Mumbai,Few hours ago,"₹ 3,60,000 - 4,00,000"
KCM STIICH (KAUVERY GROUP),Sales & Digital Marketing Expert,Ahmedabad,Few hours ago,"₹ 2,00,000 - 3,00,000"
Twist In Trip Travel Services Private Limited,Junior Travel & Tourism Specialist,Gurgaon,Few hours ago,"₹ 2,00,000 - 3,00,000"
Mudraksh & McShaw Tech LLP.,Risk Management Analyst - Algorithmic Trading,Noida,Few hours ago,"₹ 2,00,000 - 2,50,000"
Talent Corner HR Services,Legal Executive,Mumbai,Few hours ago,"₹ 2,00,000 - 3,00,000"
GenElek Technologies Private Limited,Business Development Associate,Delhi,Few hours ago,"₹ 3,00,000 - 5,00,000"
Worldwide Clothing Company,Corporate Sales Executive,Thane,Few hours ago,"₹ 3,00,000 - 7,00,000"
GenElek Technologies Private Limited,Prosthetist And Orthotist,Delhi,Few hours ago,"₹ 3,00,000 - 5,00,000"
Think Lavish Trousers,Accountant,Pimpri-Chinchwad,1 day ago,"₹ 2,00,000 - 3,00,000"
Powerfabrica Pvt Ltd,Marketing Engineer,Pune,Few hours ago,"₹ 2,30,000 - 3,00,000"
